target_id	length	eff_length	est_counts	tpm
rna-NM_001180043.1	363	164	23.2501	14.1401
rna-NM_001184582.1	228	32.1317	4	12.4165
rna-NM_001178208.1	1782	1583	101	6.36375
rna-NM_001179897.1	387	188	6.37074	3.37991
rna-NM_001180042.1	381	182	3.01921	1.65461
rna-NM_001180041.1	381	182	0	0
rna-NM_001178206.2	285	86.0009	0	0
rna-NM_001184642.1	291	92.0002	0	0
rna-NM_001178205.1	3969	3770	45.9627	1.21601
rna-NM_001178204.1	1374	1175	6365.92	540.376
rna-NM_001178203.1	1254	1055	1514	143.135
rna-NM_001178202.2	1149	950	3336	350.248
rna-NM_001178201.2	639	440	116	26.2953
rna-NM_001178200.1	1509	1310	76	5.78649
rna-NM_001178199.2	2643	2444	1278	52.1558
rna-NM_001178198.1	543	344	186	53.9296
rna-NM_001178197.1	2142	1943	20159	1034.83
rna-NM_001178196.2	2352	2153	1719	79.6351
rna-NM_001178195.2	3144	2945	454	15.376
rna-NM_001178194.1	741	542	2029	373.384
rna-NM_001178193.1	1989	1790	217	12.0915
rna-NM_001178192.2	1869	1670	90	5.37525
rna-NM_001178191.1	357	158	30	18.9381
rna-NM_001184453.1	333	134	319	237.443
rna-NM_001178189.1	513	314	674	214.093
rna-NM_001178188.1	2358	2159	557	25.7321
rna-NM_001178187.1	1248	1049	375	35.6557
rna-NM_001178186.1	2565	2366	149	6.28123
rna-NM_001178185.1	1743	1544	734	47.4156
rna-NM_001178184.1	810	611	579	94.5171
rna-NM_001178183.1	1503	1304	35428	2709.83
rna-NM_001184629.1	93	4.05064	0	0
rna-NM_001178182.1	804	605	34	5.60527
rna-NM_001178181.1	1110	911	160	17.5176
rna-NM_001178180.1	3009	2810	1336	47.4213
rna-NM_001178179.1	870	671	50	7.43225
rna-NM_001180035.1	1242	1043	3583	342.638
rna-NM_001178178.1	522	323	58	17.9101
rna-NM_001178177.1	1140	941	85	9.00953
rna-NM_001178176.1	2283	2084	442	21.1542
rna-NM_001178175.1	354	155	460	296.005
rna-NM_001178174.1	4416	4217	260	6.14954
rna-NM_001178173.1	1587	1388	192	13.797
rna-NM_001178172.1	786	587	264	44.8579
rna-NM_001178171.2	4068	3869	223.72	5.76739
rna-NR_132149.1	564	365	24.2797	6.63474
rna-NM_001178170.2	921	722	107	14.7815
rna-NM_001178169.1	4308	4109	39	0.946676
rna-NM_001178168.1	2280	2081	445	21.3285
rna-NM_001178167.1	1554	1355	29	2.13467
rna-NM_001178166.1	2514	2315	700	30.1592
rna-NM_001178165.2	1002	803	208	25.8357
rna-NM_001178164.1	3396	3197	197	6.14606
rna-NM_001178163.1	978	779	0	0
rna-NM_001178162.2	4071	3872	2208	56.877
rna-NM_001178161.1	1908	1709	3593	209.695
rna-NM_001178160.1	1200	1001	205	20.4264
rna-NM_001178159.1	768	569	198	34.7077
rna-NM_001178158.2	1218	1019	379	37.0969
rna-NM_001178157.1	1185	986	92	9.30644
rna-NM_001178156.1	1878	1679	143	8.4949
rna-NM_001178155.2	1482	1283	153	11.8943
rna-NM_001178154.1	780	581	96	16.4804
rna-NM_001178153.1	597	398	886	222.036
rna-NM_001178152.1	648	449	75	16.6605
rna-YNCA0002W	72	3.52559	0	0
rna-NM_001178151.1	1929	1730	28924.8	1667.62
rna-NM_001178150.1	621	422	3954	934.538
rna-NR_132150.1	102	4.33389	0	0
rna-NM_001178149.1	3825	3626	387	10.6453
rna-NM_001178148.1	3483	3284	644	19.5594
rna-NM_001178209.1	1620	1421	252	17.688
rna-NM_001180033.1	660	461	562	121.593
rna-NM_001178210.1	1281	1082	68	6.26837
rna-NM_001178211.1	1866	1667	197	11.787
rna-NM_001178212.1	828	629	50	7.92852
rna-NM_001178213.1	3591	3392	0	0
rna-NM_001178214.1	1323	1124	3.71777	0.329905
rna-YNCA0004W	73	3.5471	0	0
rna-NM_001178215.2	2130	1931	409	21.1258
rna-NM_001178216.1	921	722	649	89.6562
rna-NM_001178217.1	1308	1109	178	16.0089
rna-NM_001178218.2	2925	2726	288	10.5375
rna-NM_001178219.1	168	9.06081	0	0
rna-NM_001178220.2	540	341	114	33.3444
rna-YNCA0005W	82	3.75521	0	0
rna-YNCA0006C	82	3.75521	0	0
rna-NM_001178221.1	708	509	579.776	113.61
rna-NM_001178222.1	705	506	166.224	32.7654
rna-NM_001178223.1	225	29.9375	7	23.3215
rna-NM_001178224.1	897	698	26.6452	3.80748
rna-NM_001178225.1	705	506	9.70588	1.91319
rna-NM_001178226.1	2064	1865	7983	426.933
rna-NM_001184583.1	81	3.73072	0	0
rna-NM_001178227.1	3567	3368	1220	36.1294
rna-NM_001178230.1	4614	4415	200.106	4.52065
rna-YAR061W	1006	807	100.628	12.4371
rna-NM_001178235.1	300	101	3	2.9626
rna-NM_001180045.1	612	413	14	3.38104
rna-NM_001178236.1	486	287	85.7087	29.7863
rna-NM_001178239.1	1404	1205	424.414	35.1298
rna-NM_001180054.1	2379	2180	1366.82	62.5357
rna-NM_001180053.1	318	119	32.683	27.3935
rna-NM_001180052.1	2004	1805	133.504	7.3772
rna-NM_001184458.1	129	5.5143	0	0
rna-YNCB0001W	84	3.8053	0	0
rna-NM_001178347.1	591	392	219	55.7225
rna-NM_001178346.2	3033	2834	240	8.44665
rna-NM_001178345.2	3456	3257	1867	57.1741
rna-NM_001178344.1	3117	2918	212	7.24642
rna-NM_001178343.1	1461	1262	456	36.0395
rna-NM_001178342.1	648	449	610	135.505
rna-NM_001178341.1	3354	3155	782	24.7218
rna-NM_001184585.1	120	5.05223	0	0
rna-NM_001180049.1	1317	1118	0	0
rna-NM_001180050.2	5314	5115	121.444	2.36811
rna-YNCB0002W	73	3.5471	0	0
rna-NM_001178339.2	1638	1439	9019	625.13
rna-NM_001178338.1	1383	1184	117	9.85614
rna-NM_001178337.2	2265	2066	25	1.20693
rna-NM_001178335.1	813	614	341	55.3935
rna-NM_001178333.1	663	464	216	46.4311
rna-NM_001178332.1	393	194	1415	727.491
rna-NM_001184321.1	528	329	78	23.6468
rna-NM_001178331.2	1266	1067	1297	121.241
rna-NM_001178330.1	534	335	254	75.6244
rna-NM_001178329.1	1380	1181	58	4.89836
rna-NM_001178328.2	8364	8165	523	6.38879
rna-NM_001178327.1	414	215	260.772	120.975
rna-NM_001178326.1	1401	1202	625	51.8619
rna-NM_001178325.1	2943	2744	199	7.23339
rna-NM_001178324.2	2277	2078	473.28	22.7167
rna-NM_001178322.1	1377	1178	178	15.0712
rna-NM_001178321.1	1107	908	20.709	2.27481
rna-NM_001178320.2	1626	1427	57	3.98404
rna-NM_001178319.1	4509	4310	275	6.36397
rna-NM_001178318.1	354	155	3046	1960.07
rna-NM_001178316.1	3219	3020	369	12.1869
rna-NM_001178315.1	1950	1751	21761	1239.55
rna-NM_001178314.1	1068	869	159	18.2495
rna-NR_132151.1	88	3.91013	0	0
rna-NM_001178312.1	603	404	4159.92	1027.02
rna-NM_001184584.1	99	4.23477	0	0
rna-NM_001184454.1	249	50.3754	176	348.472
rna-NM_001346794.1	309	110	65	58.9377
rna-NM_001178309.1	1290	1091	119	10.8792
rna-NM_001178308.2	981	782	241	30.7385
rna-NM_001178307.2	2244	2045	915	44.6273
rna-NM_001178306.1	3447	3248	466	14.3101
rna-NM_001178304.1	786	587	9815	1667.73
rna-NM_001178303.1	3336	3137	66	2.09847
rna-NM_001178301.1	2091	1892	141	7.43311
rna-NM_001178300.1	2064	1865	139	7.43377
rna-NM_001184440.1	330	131	128	97.4567
rna-NM_001178299.1	582	383	35	9.11469
rna-NM_001178298.1	1272	1073	2291	212.96
rna-NM_001178297.2	627	428	146	34.0237
rna-NM_001178296.2	1407	1208	371	30.6323
rna-NM_001178295.1	1257	1058	259	24.4167
rna-NM_001178294.1	1578	1379	273	19.7456
rna-NM_001178292.1	2496	2297	66	2.86587
rna-NM_001178291.1	2007	1808	466	25.7075
rna-NM_001178290.1	879	680	1732	254.046
rna-NM_001178289.1	417	218	1074	491.384
rna-NM_001348869.1	312	113	76	67.0823
rna-NM_001178287.1	4146	3947	2198	55.5435
rna-NM_001178286.1	1326	1127	190	16.8152
rna-NM_001178285.1	1374	1175	6263	531.64
rna-NM_001178284.1	369	170	1	0.586711
rna-NM_001178283.1	774	575	73	12.6627
rna-NM_001178282.1	1920	1721	307	17.7922
rna-NM_001178281.1	726	527	1917	362.814
rna-NM_001178280.1	660	461	240	51.9258
rna-NM_001184527.1	180	11.1077	0	0
rna-NM_001178279.1	1740	1541	38	2.45954
rna-NM_001178278.1	699	500	273	54.4585
rna-NM_001178277.1	3078	2879	242	8.38391
rna-NM_001178276.1	774	575	475	82.3946
rna-NM_001178275.1	2118	1919	32	1.66321
rna-NM_001178274.1	4542	4343	111	2.54921
rna-NM_001178273.1	1038	839	542	64.4333
rna-NM_001178272.1	1146	947	112	11.7962
rna-NM_001178271.1	1017	818	3	0.365798
rna-NM_001178270.1	957	758	1861	244.878
rna-NM_001184457.1	285	86.0009	913	1058.87
rna-NM_001178269.1	1131	932	347	37.1353
rna-NM_001178268.1	321	122	27	22.0738
rna-NM_001178267.1	570	371	2260.43	607.7
rna-NM_001178266.1	288	89.0004	236	264.48
rna-NM_001178265.1	438	239	54	22.5356
rna-NM_001178264.1	2055	1856	100	5.37397
rna-NM_001178263.1	2607	2408	128	5.30184
rna-NM_001178262.1	3402	3203	763	23.7597
rna-NM_001178261.1	435	236	28	11.8337
rna-NM_001178260.1	1725	1526	166	10.8499
rna-NM_001178259.1	1563	1364	261	19.0853
rna-NM_001178258.1	402	203	15	7.37001
rna-NM_001178257.1	4740	4541	1030	22.6234
rna-NM_001178256.1	1062	863	37	4.27626
rna-NM_001178255.1	1581	1382	4349	313.873
rna-YNCB0004W	74	3.56892	0	0
rna-YNCB0005C	71	3.50437	0	0
rna-NM_001178254.2	2685	2486	113	4.53367
rna-NM_001178253.1	1206	1007	16	1.58476
rna-NM_001178251.1	2280	2081	168	8.05212
rna-NM_001178250.1	843	644	30	4.64631
rna-NM_001178249.1	2031	1832	76	4.13772
rna-NM_001184539.1	240	42.049	0	0
rna-NM_001178248.2	2523	2324	48	2.06005
rna-NM_001178247.1	3735	3536	1738	49.0242
rna-NM_001178246.1	543	344	295	85.5335
rna-NM_001178245.1	2931	2732	164	5.98737
rna-NM_001180047.1	1323	1124	0	0
rna-NM_001180048.2	5269	5070	508.162	9.99694
rna-YNCB0006W	82	3.75521	0	0
rna-NM_001178244.1	7482	7283	267	3.65657
rna-NM_001178243.1	399	200	61.0127	30.4273
rna-NM_001178242.1	396	197	47	23.796
rna-NM_001178241.1	315	116	1400	1203.77
rna-NM_001178349.1	2343	2144	498	23.1674
rna-NM_001178350.1	861	662	72	10.8479
rna-NM_001178351.1	1422	1223	63	5.13792
rna-NM_001178352.2	1302	1103	1051	95.0386
rna-NM_001178353.1	642	443	855	192.502
rna-NM_001178354.1	1494	1295	719	55.3773
rna-NM_001178355.2	2211	2012	62	3.07352
rna-NM_001178356.1	1647	1448	216	14.8785
rna-NM_001178357.1	312	113	230.842	203.755
rna-NM_001178358.1	411	212	647.597	304.678
rna-NM_001178359.1	864	665	2838	425.661
rna-NM_001180055.1	1323	1124	6.11304e-06	5.42455e-07
rna-NM_001180056.2	5272	5073	206.117	4.05249
rna-NM_001178361.1	390	191	7	3.65542
rna-YNCB0007W	73	3.5471	0	0
rna-NM_001178362.1	612	413	251	60.6173
rna-NM_001178363.1	1794	1595	532	33.2678
rna-NM_001178364.1	387	188	1064	564.491
rna-NM_001178365.1	2757	2558	440	17.1564
rna-NM_001178366.1	1101	902	17	1.87982
rna-NM_001178367.1	2100	1901	29.0576	1.52458
rna-NR_172474.1	3841	3642	143.713	3.93575
rna-NM_001178368.1	1587	1388	16.2298	1.16626
rna-NM_001178369.1	1902	1703	100	5.85677
rna-NM_001178370.1	534	335	67	19.9482
rna-NM_001178371.1	3498	3299	165	4.98855
rna-NM_001178372.1	906	707	206	29.0617
rna-NM_001178373.1	1185	986	5073	513.169
rna-NM_001178374.1	1143	944	10833	1144.59
rna-NM_001346795.1	333	134	4	2.97734
rna-NM_001178376.1	1578	1379	27	1.95287
rna-NM_001178377.1	1374	1175	1031	87.5173
rna-NM_001178378.1	1659	1460	129	8.81271
rna-NM_001178379.1	1089	890	2696.87	302.233
rna-NM_001346796.1	303	104	0	0
rna-NM_001178381.1	2760	2561	111	4.32301
rna-NM_001178382.1	1047	848	114	13.4086
rna-NM_001178383.1	687	488	1313	268.36
rna-NR_132152.1	161	8.14747	0	0
rna-NR_132153.1	1301	1102	798	72.2261
rna-NM_001178384.1	1233	1034	2872	277.036
rna-NM_001178385.1	888	689	54	7.81713
rna-NM_001178386.1	2892	2693	367	13.5926
