target_id	length	eff_length	est_counts	tpm
rna-NM_001180043.1	363	164	9.866	6.88164
rna-NM_001184582.1	228	32.1317	3	10.6803
rna-NM_001178208.1	1782	1583	11	0.794889
rna-NM_001179897.1	387	188	2.45523	1.49393
rna-NM_001180042.1	381	182	0.896709	0.563605
rna-NM_001180041.1	381	182	0	0
rna-NM_001178206.2	285	86.0009	0	0
rna-NM_001184642.1	291	92.0002	0	0
rna-NM_001178205.1	3969	3770	13.7548	0.417356
rna-NM_001178204.1	1374	1175	130	12.6561
rna-NM_001178203.1	1254	1055	59	6.39726
rna-NM_001178202.2	1149	950	278	33.4746
rna-NM_001178201.2	639	440	1348	350.455
rna-NM_001178200.1	1509	1310	169	14.7574
rna-NM_001178199.2	2643	2444	78	3.6508
rna-NM_001178198.1	543	344	34	11.3062
rna-NM_001178197.1	2142	1943	107	6.29949
rna-NM_001178196.2	2352	2153	829	44.0459
rna-NM_001178195.2	3144	2945	174	6.75863
rna-NM_001178194.1	741	542	237	50.02
rna-NM_001178193.1	1989	1790	79	5.04857
rna-NM_001178192.2	1869	1670	75	5.13735
rna-NM_001178191.1	357	158	88	63.7119
rna-NM_001184453.1	333	134	80	68.2936
rna-NM_001178189.1	513	314	361	131.514
rna-NM_001178188.1	2358	2159	488	25.856
rna-NM_001178187.1	1248	1049	495	53.9789
rna-NM_001178186.1	2565	2366	369	17.8405
rna-NM_001178185.1	1743	1544	664	49.1944
rna-NM_001178184.1	810	611	251	46.9923
rna-NM_001178183.1	1503	1304	10290	902.677
rna-NM_001184629.1	93	4.05064	0	0
rna-NM_001178182.1	804	605	41	7.75217
rna-NM_001178181.1	1110	911	1385	173.911
rna-NM_001178180.1	3009	2810	2666	108.53
rna-NM_001178179.1	870	671	36	6.13726
rna-NM_001180035.1	1242	1043	275	30.1608
rna-NM_001178178.1	522	323	170	60.2062
rna-NM_001178177.1	1140	941	224	27.2303
rna-NM_001178176.1	2283	2084	149	8.17868
rna-NM_001178175.1	354	155	110	81.1812
rna-NM_001178174.1	4416	4217	494	13.4004
rna-NM_001178173.1	1587	1388	32	2.63727
rna-NM_001178172.1	786	587	51	9.93863
rna-NM_001178171.2	4068	3869	232.863	6.88488
rna-NR_132149.1	564	365	5.13715	1.60999
rna-NM_001178170.2	921	722	2477	392.449
rna-NM_001178169.1	4308	4109	91	2.53338
rna-NM_001178168.1	2280	2081	1044	57.3883
rna-NM_001178167.1	1554	1355	94	7.93566
rna-NM_001178166.1	2514	2315	289	14.2804
rna-NM_001178165.2	1002	803	90	12.821
rna-NM_001178164.1	3396	3197	420	15.028
rna-NM_001178163.1	978	779	0	0
rna-NM_001178162.2	4071	3872	85	2.51118
rna-NM_001178161.1	1908	1709	569	38.086
rna-NM_001178160.1	1200	1001	197	22.5127
rna-NM_001178159.1	768	569	144	28.9498
rna-NM_001178158.2	1218	1019	457	51.3023
rna-NM_001178157.1	1185	986	2496	289.576
rna-NM_001178156.1	1878	1679	238	16.2151
rna-NM_001178155.2	1482	1283	89	7.9352
rna-NM_001178154.1	780	581	126	24.8078
rna-NM_001178153.1	597	398	69	19.8317
rna-NM_001178152.1	648	449	169	43.0561
rna-YNCA0002W	72	3.52559	0	0
rna-NM_001178151.1	1929	1730	2963.72	195.968
rna-NM_001178150.1	621	422	7980	2163.14
rna-NR_132150.1	102	4.33389	0	0
rna-NM_001178149.1	3825	3626	356	11.231
rna-NM_001178148.1	3483	3284	107	3.72714
rna-NM_001178209.1	1620	1421	911	73.3363
rna-NM_001180033.1	660	461	362	89.826
rna-NM_001178210.1	1281	1082	135	14.2725
rna-NM_001178211.1	1866	1667	41	2.81347
rna-NM_001178212.1	828	629	27	4.9103
rna-NM_001178213.1	3591	3392	0	0
rna-NM_001178214.1	1323	1124	9.51648	0.968511
rna-YNCA0004W	73	3.5471	0	0
rna-NM_001178215.2	2130	1931	657	38.9204
rna-NM_001178216.1	921	722	912	144.495
rna-NM_001178217.1	1308	1109	86	8.87077
rna-NM_001178218.2	2925	2726	96	4.02847
rna-NM_001178219.1	168	9.06081	0	0
rna-NM_001178220.2	540	341	18	6.03827
rna-YNCA0005W	82	3.75521	0	0
rna-YNCA0006C	82	3.75521	0	0
rna-NM_001178221.1	708	509	75	16.8554
rna-NM_001178222.1	705	506	33	7.46033
rna-NM_001178223.1	225	29.9375	3	11.4631
rna-NM_001178224.1	897	698	9	1.47497
rna-NM_001178225.1	705	506	0	0
rna-NM_001178226.1	2064	1865	96	5.88826
rna-NM_001184583.1	81	3.73072	0	0
rna-NM_001178227.1	3567	3368	199	6.75889
rna-NM_001178230.1	4614	4415	29.6593	0.768467
rna-YAR061W	1006	807	9.86553	1.39843
rna-NM_001178235.1	300	101	4	4.53036
rna-NM_001180045.1	612	413	9.33333	2.58512
rna-NM_001178236.1	486	287	37.9281	15.1173
rna-NM_001178239.1	1404	1205	132.733	12.6004
rna-NM_001180054.1	2379	2180	286.882	15.0536
rna-NM_001180053.1	318	119	6.8029	6.53946
rna-NM_001180052.1	2004	1805	43.5934	2.76273
rna-NM_001184458.1	129	5.5143	0	0
rna-YNCB0001W	84	3.8053	0	0
rna-NM_001178347.1	591	392	101	29.4734
rna-NM_001178346.2	3033	2834	69	2.78512
rna-NM_001178345.2	3456	3257	386	13.557
rna-NM_001178344.1	3117	2918	213	8.35005
rna-NM_001178343.1	1461	1262	190	17.2222
rna-NM_001178342.1	648	449	170	43.3109
rna-NM_001178341.1	3354	3155	126	4.56842
rna-NM_001184585.1	120	5.05223	0	0
rna-NM_001180049.1	1317	1118	0	0
rna-NM_001180050.2	5314	5115	148.995	3.33211
rna-YNCB0002W	73	3.5471	0	0
rna-NM_001178339.2	1638	1439	1027	81.6402
rna-NM_001178338.1	1383	1184	116	11.2073
rna-NM_001178337.2	2265	2066	20	1.10737
rna-NM_001178335.1	813	614	856	159.478
rna-NM_001178333.1	663	464	1330	327.89
rna-NM_001178332.1	393	194	13460	7936.66
rna-NM_001184321.1	528	329	45	15.6463
rna-NM_001178331.2	1266	1067	996	106.78
rna-NM_001178330.1	534	335	200	68.2936
rna-NM_001178329.1	1380	1181	210	20.3406
rna-NM_001178328.2	8364	8165	276	3.86676
rna-NM_001178327.1	414	215	4323.7	2300.45
rna-NM_001178326.1	1401	1202	178	16.9399
rna-NM_001178325.1	2943	2744	189	7.87902
rna-NM_001178324.2	2277	2078	345.78	19.0348
rna-NM_001178322.1	1377	1178	349	33.8903
rna-NM_001178321.1	1107	908	638.595	80.4516
rna-NM_001178320.2	1626	1427	46	3.68747
rna-NM_001178319.1	4509	4310	687	18.2337
rna-NM_001178318.1	354	155	80	59.0409
rna-NM_001178316.1	3219	3020	2831	107.233
rna-NM_001178315.1	1950	1751	344	22.4733
rna-NM_001178314.1	1068	869	79	10.3992
rna-NR_132151.1	88	3.91013	0	0
rna-NM_001178312.1	603	404	14899	4218.61
rna-NM_001184584.1	99	4.23477	0	0
rna-NM_001184454.1	249	50.3754	393	892.419
rna-NM_001346794.1	309	110	161	167.428
rna-NM_001178309.1	1290	1091	693	72.6613
rna-NM_001178308.2	981	782	939	137.358
rna-NM_001178307.2	2244	2045	314	17.5643
rna-NM_001178306.1	3447	3248	181	6.37466
rna-NM_001178304.1	786	587	522	101.725
rna-NM_001178303.1	3336	3137	44	1.60447
rna-NM_001178301.1	2091	1892	471	28.477
rna-NM_001178300.1	2064	1865	172	10.5498
rna-NM_001184440.1	330	131	64	55.886
rna-NM_001178299.1	582	383	51	15.2323
rna-NM_001178298.1	1272	1073	470	50.1064
rna-NM_001178297.2	627	428	307	82.052
rna-NM_001178296.2	1407	1208	545	51.6089
rna-NM_001178295.1	1257	1058	279	30.1657
rna-NM_001178294.1	1578	1379	971	80.547
rna-NM_001178292.1	2496	2297	113	5.62746
rna-NM_001178291.1	2007	1808	175	11.0722
rna-NM_001178290.1	879	680	471	79.2331
rna-NM_001178289.1	417	218	142	74.512
rna-NM_001348869.1	312	113	21	21.2586
rna-NM_001178287.1	4146	3947	278	8.05698
rna-NM_001178286.1	1326	1127	129	13.0936
rna-NM_001178285.1	1374	1175	619	60.2625
rna-NM_001178284.1	369	170	3	2.01868
rna-NM_001178283.1	774	575	69	13.727
rna-NM_001178282.1	1920	1721	1899	126.223
rna-NM_001178281.1	726	527	665	144.346
rna-NM_001178280.1	660	461	281	69.7268
rna-NM_001184527.1	180	11.1077	0	0
rna-NM_001178279.1	1740	1541	3884	288.318
rna-NM_001178278.1	699	500	281	64.2882
rna-NM_001178277.1	3078	2879	115	4.56931
rna-NM_001178276.1	774	575	898	178.65
rna-NM_001178275.1	2118	1919	39	2.32479
rna-NM_001178274.1	4542	4343	132	3.47679
rna-NM_001178273.1	1038	839	881	120.118
rna-NM_001178272.1	1146	947	285	34.4262
rna-NM_001178271.1	1017	818	27	3.77577
rna-NM_001178270.1	957	758	1155	174.304
rna-NM_001184457.1	285	86.0009	107	142.323
rna-NM_001178269.1	1131	932	968	118.81
rna-NM_001178268.1	321	122	926	868.252
rna-NM_001178267.1	570	371	13338.2	4112.6
rna-NM_001178266.1	288	89.0004	215	276.338
rna-NM_001178265.1	438	239	106	50.7344
rna-NM_001178264.1	2055	1856	1964	121.048
rna-NM_001178263.1	2607	2408	205	9.7385
rna-NM_001178262.1	3402	3203	269	9.60705
rna-NM_001178261.1	435	236	89	43.1393
rna-NM_001178260.1	1725	1526	294	22.0388
rna-NM_001178259.1	1563	1364	113	9.47673
rna-NM_001178258.1	402	203	54	30.4293
rna-NM_001178257.1	4740	4541	221	5.56718
rna-NM_001178256.1	1062	863	5	0.662756
rna-NM_001178255.1	1581	1382	161	13.3264
rna-YNCB0004W	74	3.56892	0	0
rna-YNCB0005C	71	3.50437	0	0
rna-NM_001178254.2	2685	2486	531	24.4336
rna-NM_001178253.1	1206	1007	13	1.47676
rna-NM_001178251.1	2280	2081	424	23.3071
rna-NM_001178250.1	843	644	67	11.901
rna-NM_001178249.1	2031	1832	110	6.8685
rna-NM_001184539.1	240	42.049	0	0
rna-NM_001178248.2	2523	2324	119	5.85741
rna-NM_001178247.1	3735	3536	394	12.7461
rna-NM_001178246.1	543	344	212	70.4972
rna-NM_001178245.1	2931	2732	157	6.57376
rna-NM_001180047.1	1323	1124	0	0
rna-NM_001180048.2	5269	5070	292.376	6.59673
rna-YNCB0006W	82	3.75521	0	0
rna-NM_001178244.1	7482	7283	1425	22.382
rna-NM_001178243.1	399	200	1028.72	588.386
rna-NM_001178242.1	396	197	1365	792.613
rna-NM_001178241.1	315	116	95	93.6829
rna-NM_001178349.1	2343	2144	203	10.8309
rna-NM_001178350.1	861	662	532	91.9281
rna-NM_001178351.1	1422	1223	74	6.9215
