target_id	length	eff_length	est_counts	tpm
rna-NM_001180043.1	363	164	22.4752	12.179
rna-NM_001184582.1	228	32.1317	7	19.3605
rna-NM_001178208.1	1782	1583	58	3.25611
rna-NM_001179897.1	387	188	2.17559	1.02842
rna-NM_001180042.1	381	182	0	0
rna-NM_001180041.1	381	182	0	0
rna-NM_001178206.2	285	86.0009	0	0
rna-NM_001184642.1	291	92.0002	0	0
rna-NM_001178205.1	3969	3770	32.8167	0.773579
rna-NM_001178204.1	1374	1175	958	72.4568
rna-NM_001178203.1	1254	1055	1518	127.871
rna-NM_001178202.2	1149	950	3918	366.516
rna-NM_001178201.2	639	440	222	44.8386
rna-NM_001178200.1	1509	1310	125	8.47989
rna-NM_001178199.2	2643	2444	1073	39.0167
rna-NM_001178198.1	543	344	181	46.7597
rna-NM_001178197.1	2142	1943	5461	249.776
rna-NM_001178196.2	2352	2153	691	28.5224
rna-NM_001178195.2	3144	2945	409	12.3421
rna-NM_001178194.1	741	542	1831	300.221
rna-NM_001178193.1	1989	1790	189	9.38341
rna-NM_001178192.2	1869	1670	104	5.53438
rna-NM_001178191.1	357	158	130	73.1203
rna-NM_001184453.1	333	134	286	189.676
rna-NM_001178189.1	513	314	1232	348.685
rna-NM_001178188.1	2358	2159	627	25.8087
rna-NM_001178187.1	1248	1049	736	62.3525
rna-NM_001178186.1	2565	2366	341	12.8083
rna-NM_001178185.1	1743	1544	516	29.6998
rna-NM_001178184.1	810	611	836	121.595
rna-NM_001178183.1	1503	1304	16936	1154.21
rna-NM_001184629.1	93	4.05064	0	0
rna-NM_001178182.1	804	605	40	5.87566
rna-NM_001178181.1	1110	911	210	20.4858
rna-NM_001178180.1	3009	2810	1969	62.2718
rna-NM_001178179.1	870	671	110	14.5687
rna-NM_001180035.1	1242	1043	1824	155.415
rna-NM_001178178.1	522	323	89	24.4872
rna-NM_001178177.1	1140	941	163	15.3939
rna-NM_001178176.1	2283	2084	425	18.1235
rna-NM_001178175.1	354	155	484	277.502
rna-NM_001178174.1	4416	4217	468	9.86266
rna-NM_001178173.1	1587	1388	147	9.41195
rna-NM_001178172.1	786	587	341	51.6259
rna-NM_001178171.2	4068	3869	328.86	7.55378
rna-NR_132149.1	564	365	29.1397	7.09487
rna-NM_001178170.2	921	722	221	27.2024
rna-NM_001178169.1	4308	4109	89	1.92489
rna-NM_001178168.1	2280	2081	1287	54.9614
rna-NM_001178167.1	1554	1355	52	3.41048
rna-NM_001178166.1	2514	2315	701	26.9103
rna-NM_001178165.2	1002	803	240	26.5612
rna-NM_001178164.1	3396	3197	271	7.53318
rna-NM_001178163.1	978	779	0	0
rna-NM_001178162.2	4071	3872	1575	36.1491
rna-NM_001178161.1	1908	1709	3704	192.611
rna-NM_001178160.1	1200	1001	416	36.9327
rna-NM_001178159.1	768	569	365	57.0075
rna-NM_001178158.2	1218	1019	612	53.3739
rna-NM_001178157.1	1185	986	182	16.4039
rna-NM_001178156.1	1878	1679	178	9.42152
rna-NM_001178155.2	1482	1283	196	13.5763
rna-NM_001178154.1	780	581	77	11.7779
rna-NM_001178153.1	597	398	625	139.556
rna-NM_001178152.1	648	449	363	71.8476
rna-YNCA0002W	72	3.52559	0	0
rna-NM_001178151.1	1929	1730	80792.1	4150.25
rna-NM_001178150.1	621	422	9829	2069.9
rna-NR_132150.1	102	4.33389	0	0
rna-NM_001178149.1	3825	3626	292	7.1566
rna-NM_001178148.1	3483	3284	659	17.8334
rna-NM_001178209.1	1620	1421	362	22.6395
rna-NM_001180033.1	660	461	1302	250.993
rna-NM_001178210.1	1281	1082	129	10.5953
rna-NM_001178211.1	1866	1667	710	37.8507
rna-NM_001178212.1	828	629	123	17.3783
rna-NM_001178213.1	3591	3392	0	0
rna-NM_001178214.1	1323	1124	0	0
rna-YNCA0004W	73	3.5471	0	0
rna-NM_001178215.2	2130	1931	405	18.6391
rna-NM_001178216.1	921	722	1216	149.675
rna-NM_001178217.1	1308	1109	277	22.1973
rna-NM_001178218.2	2925	2726	405	13.2033
rna-NM_001178219.1	168	9.06081	0	0
rna-NM_001178220.2	540	341	129	33.6192
rna-YNCA0005W	82	3.75521	0	0
rna-YNCA0006C	82	3.75521	0	0
rna-NM_001178221.1	708	509	480	83.806
rna-NM_001178222.1	705	506	209	36.7069
rna-NM_001178223.1	225	29.9375	5	14.8425
rna-NM_001178224.1	897	698	25.1104	3.19705
rna-NM_001178225.1	705	506	19.8462	3.4856
rna-NM_001178226.1	2064	1865	2403	114.506
rna-NM_001184583.1	81	3.73072	0	0
rna-NM_001178227.1	3567	3368	744	19.6315
rna-NM_001178230.1	4614	4415	201.451	4.055
rna-YAR061W	1006	807	224.934	24.7704
